Date,Ref No,Outlet,Point of Sales,Cashier,Membership No,Category,Item No,Item Name,Group,Sub-Group,Qty,Nett Sales,Hdr Remark,Line Remark,Line Info
2024-09-07,OR24090700520005,DORS,DO-P2,DF0017,DO2100225418,KELLY SER ATELIER,KELA100041,Singapore Collage Grocery Bag,FASHION ACCESSORIES,BAG,1,6,,,
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Local/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,ANMAKO,ANMK100369,TWO TONE BATIK BUCKET HAT,FASHION ACCESSORIES,HEADWEAR,1,39.9,,,Local/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,THE WILD ARTSCAPADE,WILD100036,Grow Through What You Go Through Enamel Pin  ,FASHION ACCESSORIES,ENAMEL PIN,1,14.9,,,LOCAL/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,THE WILD ARTSCAPADE,WILD100014,A Little Progress Enamel Pin  ,FASHION ACCESSORIES,ENAMEL PIN,1,14.9,,,LOCAL/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,THE WILD ARTSCAPADE,WILD100009,Believe in Good Things to Come Enamel Pin  ,FASHION ACCESSORIES,ENAMEL PIN,1,14.9,,,Local/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,THE WILD ARTSCAPADE,WILD100010,Grow at Your Own Pace Enamel Pin  ,FASHION ACCESSORIES,ENAMEL PIN,1,14.9,,,Local/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,THE WILD ARTSCAPADE,WILD100011,Nourish to Flourish Enamel Pin  ,FASHION ACCESSORIES,ENAMEL PIN,1,14.9,,,Local/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,THE WILD ARTSCAPADE,WILD100005,Celebrate Every Win Enamel Pin  ,FASHION ACCESSORIES,ENAMEL PIN,1,14.9,,,Local/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,THE WILD ARTSCAPADE,WILD100002,Wildly Capable Enamel Pin  ,FASHION ACCESSORIES,ENAMEL PIN,1,14.9,,,LOCAL/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,QUINTESSENTIAL,QUIN100028,Plush Pouch,FASHION ACCESSORIES,BAG,1,55,,,LOCAL/PR
2024-09-07,OR24090700510003,DORS,DO-P1,DF0017,DO1100232328,RE-STORE,REST100102,Reversible Knot Bag - Denim ,FASHION ACCESSORIES,BAG,1,53.41,,,LOCAL/PR
2024-09-07,OR24090700510004,DORS,DO-P1,DF0017,WALK-IN,THE ANIMAL PROJECT,AMPJ100051,POUCH WITH CHARM - GIRAFFE,FASHION ACCESSORIES,BAG,1,31,,,TOURIST
2024-09-07,OR24090700510004,DORS,DO-P1,DF0017,WALK-IN,THE ANIMAL PROJECT,AMPJ100024,TRAVEL TUMBLER - PANDAS DRINKWARE Black,SMALL HOME FURNISHING,TABLEWARE,1,32,,,TOURIST
2024-09-07,OR24090700520006,DORS,DO-P2,DF0015,WALK-IN,KELLY SER ATELIER,KELA100042,Singapore Collage Cushion Cover,SMALL HOME FURNISHING,CUSHION COVER,2,70,,,TOURIST
2024-09-07,OR24090700520006,DORS,DO-P2,DF0015,WALK-IN,THE ANTECEDENT STORE,TASS100001,TAS CLASSIC EARRINGS,FASHION ACCESSORIES,EARRING,3,64.5,,,TOURIST
2024-09-07,OR24090700510005,DORS,DO-P1,DF0017,WALK-IN,THE ANIMAL PROJECT,AMPJ100052,POUCH - SEA CREATURE,FASHION ACCESSORIES,BAG,1,31,,,Local/PR
2024-09-07,OR24090700510006,DORS,DO-P1,DF0017,WALK-IN,SCENT JOURNER,SJNR100035,CLOUDS IN HEAVEN ROOM PERFUME 100 ML,BEAUTY AND WELLNESS,FRAGRANCE,1,68,,,TOURIST
2024-08-08,OR24080800510012,DORS,DO-P1,DF0007,DO1100226544,PETER KOR,PKOR100148, PK 0014 BL  Black  42,FASHION APPAREL,Top,1,49.5,,,LOCAL/PR
2024-08-08,OR24080800520006,DORS,DO-P2,DF0001,DO2100225249,STRAIT LIGHTS,STRL100046,Gardens By The Bay Bracelet - Corded Adjustable,FASHION ACCESSORIES,BRACELET,1,40.8,,,TOURIST
2024-08-08,OR24080800520006,DORS,DO-P2,DF0001,DO2100225249,STRAIT LIGHTS,STRL100028,Raffles Bracelet - Corded Adjustable,FASHION ACCESSORIES,BRACELET,1,40.8,,,TOURIST
2024-08-08,OR24080800520006,DORS,DO-P2,DF0001,DO2100225249,STRAIT LIGHTS,STRL100027,Botanic Gardens Bracelet - Corded Adjustable,FASHION ACCESSORIES,BRACELET,1,40.8,,,TOURIST
2024-08-08,OR24080800520006,DORS,DO-P2,DF0001,DO2100225249,TUTTLE,TUTT100001,Singapore Cooking hc,GIFTING / STATIONERY,STATIONERY,1,23.82,,,TOURIST
2024-08-08,OR24080800520006,DORS,DO-P2,DF0001,DO2100225249,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Tourist
2024-08-08,OR24080800520007,DORS,DO-P2,DF0001,10024215,FRESHLY PRESSED SOCKS,FRPS100060,S'pore Icons Kids (Dragon Playground & Bumboat) Socks,FASHION ACCESSORIES,KIDS SOCK,1,13.77,,,LOCAL/PR
2024-08-08,OR24080800520008,DORS,DO-P2,DF0007,WEB00108,FEED MY PAWS,PAWS100011,Bitsy Bones 30G,FOOD,PET FOOD,1,6.8,,,
2024-08-08,OR24080800510014,DORS,DO-P1,DF0007,DO1100231968,SINGLAPA,SILA100028,[Singlapa] Peranakan Tiles Coaster,SMALL HOME FURNISHING,TABLEWARE,1,14.31,,,LOCAL/PR
2024-08-08,OR24080800510014,DORS,DO-P1,DF0007,DO1100231968,SINGLAPA,SILA100054,[Singlapa] Peranakan Teapot Tea Towel,SMALL HOME FURNISHING,TEA TOWEL,1,25.92,,,LOCAL/PR
2024-08-08,OR24080800510014,DORS,DO-P1,DF0007,DO1100231968,THE WILD ARTSCAPADE,WILD100007,Slow Down Breathe Enamel Pin  ,FASHION ACCESSORIES,ENAMEL PIN,1,13.41,,,LOCAL/PR
2024-08-08,OR24080800510014,DORS,DO-P1,DF0007,DO1100231968,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Local/PR
2024-08-08,OR24080800510015,DORS,DO-P1,DF0007,DO1100231969,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Local/PR
2024-08-08,OR24080800510015,DORS,DO-P1,DF0007,DO1100231969,SPARROW GREEN,GRES100663, CAIT II classic midi drawstring utility cargo skirt  Black Free size,FASHION APPAREL,0,1,71.91,,,LOCAL/PR
2024-08-08,OR24080800510016,DORS,DO-P1,DF0024,WEB00351,TALKING TOES,TTOE100034,Talking Toes - Go for MILO Athletic Sock - S,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-08,OR24080800510016,DORS,DO-P1,DF0024,WEB00351,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,2,28.62,,,LOCAL/PR
2024-08-08,OR24080800520009,DORS,DO-P2,DS0004,DO2100225250,THE ANTECEDENT STORE,TASS100001,TAS CLASSIC EARRINGS,FASHION ACCESSORIES,EARRING,3,64.5,,,TOURIST
2024-08-08,OR24080800520009,DORS,DO-P2,DS0004,DO2100225250,FRESHLY PRESSED SOCKS,FRPS100010,HDB Socks Multi-Colored,FASHION ACCESSORIES,SOCK,1,13.77,,,TOURIST
2024-08-08,OR24080800520009,DORS,DO-P2,DS0004,DO2100225250,FRESHLY PRESSED SOCKS,FRPS100035,Singapore Skyline Socks Multi-Colored,FASHION ACCESSORIES,SOCK,1,13.77,,,TOURIST
2024-08-08,OR24080800520009,DORS,DO-P2,DS0004,DO2100225250,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800510017,DORS,DO-P1,DF0024,DO1100231970,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Tourist
2024-08-08,OR24080800510017,DORS,DO-P1,DF0024,DO1100231970,STRAIT LIGHTS,STRL100039,Marina Bay Bracelet 16cm,FASHION ACCESSORIES,BRACELET,1,40.8,,,LOCAL/PR
2024-08-08,OR24080800520010,DORS,DO-P2,DS0004,WEB00352,ROCKET EYEWEAR,RKEW100008,MTO Classic Sunglasses Caviar Tortoise & Rosé Raised Fit/Original,FASHION ACCESSORIES,EYE WEAR,1,179.1,,,TOURIST
2024-08-08,OR24080800520011,DORS,DO-P2,DS0004,DO2100225251,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520011,DORS,DO-P2,DS0004,DO2100225251,ROCKET EYEWEAR,RKEW100015,MTO Classic Sunglasses Crystal Standard Fit/Original,FASHION ACCESSORIES,EYE WEAR,1,152.1,,,TOURIST
2024-08-08,OR24080800520011,DORS,DO-P2,DS0004,DO2100225251,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,15.9,,,TOURIST
2024-08-08,OR24080800520012,DORS,DO-P2,DS0004,DO2100225252,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520013,DORS,DO-P2,DS0004,DO2100225253,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520013,DORS,DO-P2,DS0004,DO2100225253,JOMO STUDIO,JOMO100003,Fizz'O'Foam Refills - Lavender Geranium Body & Hand Gentle Foaming Wash Tablets Purple,BEAUTY AND WELLNESS,SOAP,2,11.7,,,LOCAL/PR
2024-08-08,OR24080800520013,DORS,DO-P2,DS0004,DO2100225253,JOMO STUDIO,JOMO100006,Fizz'O'Foam Refills - Citrus Blooms Body & Hand Gentle Foaming Wash Tablets Pink,BEAUTY AND WELLNESS,SOAP,2,11.7,,,LOCAL/PR
2024-08-08,OR24080800510018,DORS,DO-P1,DF0024,WEB00353,BLACK BY BLUE BRAVE,BBBB100163,THCN0001 Tonya MOP BLACK LEATHER,FASHION ACCESSORIES,WATCH,1,111.2,,,Tourist
2024-08-08,OR24080800520014,DORS,DO-P2,DS0004,WEB00353,BLACK BY BLUE BRAVE,BBBB100166,THCN0006 Hebe WHITE RG,FASHION ACCESSORIES,WATCH,1,119.2,,,TOURIST
2024-08-08,OR24080800510019,DORS,DO-P1,DF0024,WEB00353,QUINTESSENTIAL,QUIN100044,Beaded Tote Bag,FASHION ACCESSORIES,BAG,1,98.1,,,TOURIST
2024-08-08,OR24080800520015,DORS,DO-P2,DS0004,DO2100225253,ARTISAN OF SENSE,ARTS100070, Reed Diffuser - Geranium & Lavender 200ml,SMALL HOME FURNISHING,DIFFUSER,1,61.2,,,LOCAL/PR
2024-08-08,OR24080800520016,DORS,DO-P2,DS0004,DO2100225254,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520016,DORS,DO-P2,DS0004,DO2100225254,SCENT JOURNER,SJNR1000002,The Blooming Jewel  10ml,BEAUTY AND WELLNESS,FRAGRANCE,1,41.4,,,LOCAL/PR
2024-08-08,OR24080800520018,DORS,DO-P2,DS0004,DO2100225255,PURPLEANDPURE,PURP100012,Marigold Plantable Seed Notebook and Pencil Set,GIFTING / STATIONERY,STATIONERY,1,12.65,,,TOURIST
2024-08-08,OR24080800520018,DORS,DO-P2,DS0004,DO2100225255,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520018,DORS,DO-P2,DS0004,DO2100225255,DESIGN ORCHARD,DORS100039,Design Orchard Greeting Cards (Single),GIFTING / STATIONERY,STATIONERY,1,2,,,TOURIST
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,KELLY SER ATELIER,KELA100020,Not Just a Little Red Dot: Chinatown Magnet 6.5cm x 8cm,GIFTING / STATIONERY,STATIONERY,1,9,,,TOURIST
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,KELLY SER ATELIER,KELA100019,Not Just a Little Red Dot: Merlion Magnet 6.5cm x 8cm,GIFTING / STATIONERY,STATIONERY,1,9,,,TOURIST
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,PURPLEANDPURE,PURP100032,Mandala Colouring Book,GIFTING / STATIONERY,STATIONERY,1,34.02,,,TOURIST
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,SINGLAPA,SILA100055,[Singlapa] Peranakan Teapot Coaster,SMALL HOME FURNISHING,COASTER,1,14.31,,,TOURIST
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,SINGLAPA,SILA100064,[Singlapa] Peranakan Tiles Greeting Card,GIFTING / STATIONERY,GREETING CARD,1,6.21,,,TOURIST
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,SINGLAPA,SILA100028,[Singlapa] Peranakan Tiles Coaster,SMALL HOME FURNISHING,TABLEWARE,1,14.31,,,TOURIST
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,SINGLAPA,SILA100028,[Singlapa] Peranakan Tiles Coaster,SMALL HOME FURNISHING,TABLEWARE,1,14.31,,,TOURIST
2024-08-08,OR24080800520019,DORS,DO-P2,DS0004,DO2100225256,SINGLAPA,SILA100029,[Singlapa] Chinese Floral Coaster,SMALL HOME FURNISHING,TABLEWARE,1,14.31,,,TOURIST
2024-08-08,OR24080800510020,DORS,DO-P1,DF0024,WEB00354,RARE BIRD,RARE100054, Peranakan Floral Necklace,FASHION ACCESSORIES,NECKLACE,1,134.1,,,LOCAL/PR
2024-08-08,OR24080800510020,DORS,DO-P1,DF0024,WEB00354,FORBIDDEN HILL,FBHL100104,24mm - Silk Slides BNGL ACSY Midnight Blue,FASHION ACCESSORIES,BRACELET,1,22.5,,,LOCAL/PR
2024-08-08,OR24080800510020,DORS,DO-P1,DF0024,WEB00354,FORBIDDEN HILL,FBHL100099,24mm - Silk Slides BNGL ACSY Lava Orange,FASHION ACCESSORIES,BRACELET,1,22.5,,,LOCAL/PR
2024-08-08,OR24080800510020,DORS,DO-P1,DF0024,WEB00354,FORBIDDEN HILL,FBHL100102,24mm - Silk Slides BNGL ACSY Dragon Red,FASHION ACCESSORIES,BRACELET,1,22.5,,,LOCAL/PR
2024-08-08,OR24080800510020,DORS,DO-P1,DF0024,WEB00354,FORBIDDEN HILL,FBHL100121,24mm - Silk Slides BNGL ACSY Pewter Grey,FASHION ACCESSORIES,BRACELET,1,22.5,,,LOCAL/PR
2024-08-08,OR24080800520020,DORS,DO-P2,DS0004,DO2100225257,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520021,DORS,DO-P2,DS0004,DO2100225244,QUINTESSENTIAL,QUIN100001,Handbeaded Envelope Clutch,FASHION ACCESSORIES,BAG,1,152.1,,,LOCAL/PR
2024-08-08,OR24080800520021,DORS,DO-P2,DS0004,DO2100225244,PHOTO PHACTORY,PHPH100336,Tea TOWEL- PERANAKAN TILES SERIES-OLIVE ,SMALL HOME FURNISHING,TEA TOWEL,1,23.8,,,LOCAL/PR
2024-08-08,OR24080800520021,DORS,DO-P2,DS0004,DO2100225244,PHOTO PHACTORY,PHPH100334,Tea TOWEL-SHOPHOUSE SERIES- BLUE ,SMALL HOME FURNISHING,TEA TOWEL,1,23.8,,,LOCAL/PR
2024-08-08,OR24080800520021,DORS,DO-P2,DS0004,DO2100225244,STRAIT LIGHTS,STRL100039,Marina Bay Bracelet 16cm,FASHION ACCESSORIES,BRACELET,1,40.8,,,LOCAL/PR
2024-08-08,OR24080800520021,DORS,DO-P2,DS0004,DO2100225244,STRAIT LIGHTS,STRL100037,East Coast Beach Bracelet 16cm,FASHION ACCESSORIES,BRACELET,1,40.8,,,LOCAL/PR
2024-08-08,OR24080800520021,DORS,DO-P2,DS0004,DO2100225244,STRAIT LIGHTS,STRL100032,Botanic Gardens Strait Scenes Bracelet - 16cm,FASHION ACCESSORIES,BRACELET,1,40.8,,,LOCAL/PR
2024-08-08,OR24080800520021,DORS,DO-P2,DS0004,DO2100225244,STRAIT LIGHTS,STRL100036,Raffles Strait Scenes Bracelet - 16cm,FASHION ACCESSORIES,BRACELET,1,40.8,,,LOCAL/PR
2024-08-08,OR24080800520021,DORS,DO-P2,DS0004,DO2100225244,STRAIT LIGHTS,STRL100045,Joo Chiat Pink Bracelet 16cm,FASHION ACCESSORIES,BRACELET,1,40.8,,,LOCAL/PR
2024-08-08,OR24080800520022,DORS,DO-P2,DS0004,DO2100225244,ROCKET EYEWEAR,RKEW100007,MTO Classic Sunglasses Mother's Pearl & Chin Chow Tortoise Raised Fit/Ori,FASHION ACCESSORIES,EYE WEAR,1,179.1,,,LOCAL/PR
2024-08-08,OR24080800520022,DORS,DO-P2,DS0004,DO2100225244,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,15.9,,,LOCAL/PR
2024-08-08,OR24080800520022,DORS,DO-P2,DS0004,DO2100225244,THOMAS WEE,THWE00000,THOMAS WEE LADIES - OPEN ITEM,FASHION APPAREL,LADIES APPAREL,1,234,,,LOCAL/PR
2024-08-08,OR24080800510021,DORS,DO-P1,DF0024,WEB00355,SINGLAPA,SILA100108,[Singlapa] Singapore Hawker Food Apron ,SMALL HOME FURNISHING,TABLEWARE,1,44.55,,,LOCAL/PR
2024-08-08,OR24080800510021,DORS,DO-P1,DF0024,WEB00355,EVERYDAY CLUB,EDAY100101,Bun Bag  Black Sesame Regular ,FASHION ACCESSORIES,BAG,1,54.94,,,LOCAL/PR
2024-08-08,OR24080800510021,DORS,DO-P1,DF0024,WEB00355,DESIGN ORCHARD,00000,Open Item,0,0,1,146.7,,,LOCAL/PR
2024-08-08,OR24080800520023,DORS,DO-P2,DS0004,DO2100225258,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520023,DORS,DO-P2,DS0004,DO2100225258,FRESHLY PRESSED SOCKS,FRPS100067,Kueh Lapis Socks Mult-colored ,FASHION ACCESSORIES,SOCK,1,13.77,,,LOCAL/PR
2024-08-08,OR24080800520023,DORS,DO-P2,DS0004,DO2100225258,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-08,OR24080800520024,DORS,DO-P2,DS0004,DO1100228167,RARE BIRD,RARE100067, Italian Medallion Pendant - Blue,FASHION ACCESSORIES,PENDANT,1,82.8,,,LOCAL/PR
2024-08-08,OR24080800520025,DORS,DO-P2,DS0004,DO2100225259,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800510022,DORS,DO-P1,DF0003,DO1100231971,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Local/PR
2024-08-08,OR24080800510022,DORS,DO-P1,DF0003,DO1100231971,THE POWDER SHAMPOO,TPSO1000013,Energising Body Foam Wash to Awaken Your Senses 100g,BEAUTY AND WELLNESS,HAIR WASH,1,31.92,,,LOCAL/PR
2024-08-08,OR24080800520026,DORS,DO-P2,DS0004,DO2100225260,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,3,42.93,,,TOURIST
2024-08-08,OR24080800520026,DORS,DO-P2,DS0004,DO2100225260,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800520026,DORS,DO-P2,DS0004,DO2100225260,MISEICO,MISE100024," MenoHarmony Elixir Relieve Stress, Anxiety, Burnout  10ml ",BEAUTY AND WELLNESS,SKINCARE,1,34.2,,,TOURIST
2024-08-08,OR24080800520026,DORS,DO-P2,DS0004,DO2100225260,EXTRA NOODLES,EXNO100005, Camo Classic Bowl Bear DOE T-Shirt White S,FASHION APPAREL,UNISEX TOP,1,53.91,,,TOURIST
2024-08-08,OR24080800510023,DORS,DO-P1,DF0003,DO1100231972,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Tourist
2024-08-08,OR24080800510023,DORS,DO-P1,DF0003,DO1100231972,THE ANTECEDENT STORE,TASS100001,TAS CLASSIC EARRINGS,FASHION ACCESSORIES,EARRING,1,38.41,,,TOURIST
2024-08-08,OR24080800510024,DORS,DO-P1,DF0003,WEB00357,PHOTO PHACTORY,PHPH100086,EMERALD GREEN PLEATED SKIRT-M,FASHION APPAREL,LADIES BOTTOM,1,83.3,,,EXPATS
2024-08-08,OR24080800510024,DORS,DO-P1,DF0003,WEB00357,SINGLAPA,SILA100109,[Singlapa] Singapore Hawker Food Shopping Bag ,SMALL HOME FURNISHING,BAG,1,27.81,,,EXPATS
2024-08-08,OR24080800510024,DORS,DO-P1,DF0003,WEB00357,SINGLAPA,SILA100091,[Singlapa] Chinese Dim Sum Shopping Bag  ,FASHION ACCESSORIES,BAG,1,27.81,,,EXPATS
2024-08-08,OR24080800520027,DORS,DO-P2,DF0001,DO2100225261,SINGLAPA,SILA100073,[Singlapa] Mahjong Scarf,FASHION ACCESSORIES,SCARF,1,53.1,,,LOCAL/PR
2024-08-08,OR24080800520027,DORS,DO-P2,DF0001,DO2100225261,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,
2024-08-08,OR24080800510025,DORS,DO-P1,DF0003,10023761,THOMAS WEE,THWE00000,THOMAS WEE LADIES - OPEN ITEM,FASHION APPAREL,LADIES APPAREL,2,352.8,,UNISEX SHIRT,LOCAL/PR
2024-08-08,OR24080800510026,DORS,DO-P1,DS0004,100221899,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,3,42.93,,,EXPATS
2024-08-08,OR24080800510026,DORS,DO-P1,DS0004,100221899,TALKING TOES,TTOE100012,Talking Toes No-Show Socks,FASHION ACCESSORIES,SOCK,2,28.62,,,EXPATS
2024-08-08,OR24080800510027,DORS,DO-P1,DS0004,DO1100231973,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Tourist
2024-08-08,OR24080800510027,DORS,DO-P1,DS0004,DO1100231973,THE ANIMAL PROJECT,AMPJ100161,Tote Bag Hornbill  ,FASHION ACCESSORIES,BAG,1,28.8,,,TOURIST
2024-08-08,OR24080800510029,DORS,DO-P1,DS0004,100221899,THE ANIMAL PROJECT,AMPJ100034,POUCH - HORNBILL  Green,FASHION ACCESSORIES,BAG,1,22.5,,,LOCAL/PR
2024-08-08,OR24080800510029,DORS,DO-P1,DS0004,100221899,THE ANIMAL PROJECT,AMPJ100034,POUCH - HORNBILL  Green,FASHION ACCESSORIES,BAG,1,22.5,,,LOCAL/PR
2024-08-08,OR24080800510030,DORS,DO-P1,DS0004,DO1100231974,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Local/PR
2024-08-08,OR24080800510031,DORS,DO-P1,DS0004,DO1100228960,STRAIT LIGHTS,STRL100028,Raffles Bracelet - Corded Adjustable,FASHION ACCESSORIES,BRACELET,1,40.8,,,TOURIST
2024-08-08,OR24080800510032,DORS,DO-P1,DS0004,DO1100229715,NYANA NYANA ECO FASHION,NYAN100090,Multiways Sarong Pants  XS ,FASHION APPAREL,UNISEX BOTTOM,1,81,,,LOCAL/PR
2024-08-08,OR24080800510033,DORS,DO-P1,DS0004,DO1100229715,DOOB BEAN BAGS,DOOB100015,Hauler upsized tote bag Wine Red  ,FASHION ACCESSORIES,TOTE BAG,1,26.01,,,LOCAL/PR
2024-08-08,OR24080800510035,DORS,DO-P1,DS0004,DO1100231975,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Tourist
2024-08-08,OR24080800510035,DORS,DO-P1,DS0004,DO1100231975,TALKING TOES,TTOE100035,Talking Toes - Go for MILO Athletic Sock - M,FASHION ACCESSORIES,SOCK,3,45.63,,,LOCAL/PR
2024-08-08,OR24080800510036,DORS,DO-P1,DS0004,DO1100231976,SINGLAPA,SILA100107,[Singlapa] Singapore Hawker Food Table Runner ,SMALL HOME FURNISHING,TABLEWARE,1,75.51,,,LOCAL/PR
2024-08-08,OR24080800510036,DORS,DO-P1,DS0004,DO1100231976,SINGLAPA,SILA100051,[Singlapa] SG Skyline Table Runner,SMALL HOME FURNISHING,TABLEWARE,1,75.51,,,LOCAL/PR
2024-08-08,OR24080800510036,DORS,DO-P1,DS0004,DO1100231976,SINGLAPA,SILA100049,[Singlapa] SG Skyline Tea Towel,SMALL HOME FURNISHING,TABLEWARE,1,25.92,,,LOCAL/PR
2024-08-08,OR24080800510036,DORS,DO-P1,DS0004,DO1100231976,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Local/PR
2024-08-08,OR24080800510036,DORS,DO-P1,DS0004,DO1100231976,KELLY SER ATELIER,KELA100043,Not Just a Little Red Dot Tea Towel,SMALL HOME FURNISHING,TEA TOWEL,1,22.5,,,LOCAL/PR
2024-08-08,OR24080800510037,DORS,DO-P1,DS0004,DO1100231975,TALKING TOES,TTOE100035,Talking Toes - Go for MILO Athletic Sock - M,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-08,OR24080800510037,DORS,DO-P1,DS0004,DO1100231975,TALKING TOES,TTOE100032,Talking Toes - Yummy Mamee Athletic Sock - S,FASHION ACCESSORIES,SOCK,2,30.42,,,LOCAL/PR
2024-08-08,OR24080800510038,DORS,DO-P1,DF0003,DO1100231977,TALKING TOES,TTOE100040,Talking Toes -  You're a Gem Crew Sock - S,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-08,OR24080800510038,DORS,DO-P1,DF0003,DO1100231977,TALKING TOES,TTOE100036,Talking Toes -  Kueh-zy Good Crew Sock - S,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-08,OR24080800510038,DORS,DO-P1,DF0003,DO1100231977,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-08,OR24080800510038,DORS,DO-P1,DF0003,DO1100231977,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Local/PR
2024-08-08,OR24080800510039,DORS,DO-P1,DF0003,WALK-IN,THE ANTECEDENT STORE,TASS100001,TAS CLASSIC EARRINGS,FASHION ACCESSORIES,EARRING,1,38.41,,,TOURIST
2024-08-08,OR24080800510040,DORS,DO-P1,DF0003,DO1100231978,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,2,28.62,,,LOCAL/PR
2024-08-08,OR24080800510040,DORS,DO-P1,DF0003,DO1100231978,TALKING TOES,TTOE100011,Talking Toes Crew Socks,FASHION ACCESSORIES,SOCK,1,14.31,,,LOCAL/PR
2024-08-08,OR24080800510040,DORS,DO-P1,DF0003,DO1100231978,TALKING TOES,TTOE100035,Talking Toes - Go for MILO Athletic Sock - M,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-08,OR24080800510040,DORS,DO-P1,DF0003,DO1100231978,TALKING TOES,TTOE100031,Talking Toes - Pure Axe-citement Athletic Sock - M,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-08,OR24080800510040,DORS,DO-P1,DF0003,DO1100231978,TALKING TOES,TTOE100031,Talking Toes - Pure Axe-citement Athletic Sock - M,FASHION ACCESSORIES,SOCK,1,15.21,,,LOCAL/PR
2024-08-08,OR24080800510040,DORS,DO-P1,DF0003,DO1100231978,SYSTEM,MEMBER,Membership signup,0,0,1,0,,,Local/PR
